
Миграционный прирост, человек, значение показателя за год, Всего, Всего
;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
Сельские поселения;2;;1;3;-1;-1;1;3;3;;0;-2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;102;104;107;266;67;57;40;30;15;;66;-23;
Гостицкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;6;8;21;4;21;-27;-17;6;4;-2;3;6;
в пределах России;;;;;;;;;;;;;
Сельские поселения;4;3;15;-5;12;-28;-21;7;-5;-20;-4;-1;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;5;-6;;-11;-1;-10;-20;-13;6;-4;-17;-5;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-1;9;15;6;13;-18;-1;20;-11;-16;13;4;
международная;;;;;;;;;;;;;
Сельские поселения;2;5;6;9;9;1;4;-1;9;18;7;7;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;2;4;5;9;8;2;3;1;8;17;7;6;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;1;1;;1;-1;1;-2;1;1;;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;1;14;21;15;22;-17;3;19;-2;2;20;11;
Старопольское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;65;10;-16;18;-20;-29;21;-47;-4;-9;19;8;
в пределах России;;;;;;;;;;;;;
Сельские поселения;42;-1;-14;0;-16;-50;-19;-33;-9;-42;-24;-19;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-3;-23;-14;-16;-12;-25;-35;-28;-8;-18;-13;-15;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;45;22;;16;-4;-25;16;-5;-1;-24;-11;-4;
международная;;;;;;;;;;;;;
Сельские поселения;23;11;-2;18;-4;21;40;-14;5;33;43;27;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;20;9;-1;19;-5;20;40;-13;6;29;33;28;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;3;2;-1;-1;1;1;0;-1;-1;4;10;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;68;33;-2;34;-8;-4;56;-19;4;9;32;23;
Черновское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;10;8;6;34;7;-8;8;3;5;;-9;-27;
в пределах России;;;;;;;;;;;;;
Сельские поселения;4;3;-1;24;-2;-11;3;-7;-2;;-7;-19;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-11;-4;-2;12;-8;-4;-5;-6;-16;;-13;-8;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;15;7;1;12;6;-7;8;-1;14;;6;-11;
международная;;;;;;;;;;;;;
Сельские поселения;6;5;7;10;9;3;5;10;7;;-2;-8;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;6;2;6;-3;5;1;8;11;8;;-1;-8;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;3;1;13;4;2;-3;-1;-1;;-1;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;21;12;8;22;15;-4;13;9;21;;4;-19;
Тихвинский муниципальный район;;;;;;;;;;;;;
Тихвинский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;253;449;219;259;33;235;599;139;430;-216;161;-258;
в пределах России;;;;;;;;;;;;;
Муниципальный район;-23;-1;-81;213;107;-63;193;-54;135;-86;5;-82;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;-124;-75;-133;-52;-32;-164;-12;-119;-89;-134;-7;-125;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;101;74;52;265;139;101;205;65;224;48;12;43;
международная;;;;;;;;;;;;;
Муниципальный район;276;450;300;46;-74;298;406;193;295;-130;156;-176;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;281;431;314;54;-79;300;413;172;303;-134;149;-169;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;-5;19;-14;-8;5;-2;-7;21;-8;4;7;-7;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;377;524;352;311;65;399;611;258;519;-82;168;-133;
Тихвинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;113;271;129;242;23;223;601;253;420;;110;-333;
в пределах России;;;;;;;;;;;;;
Городские поселения;-73;-20;-137;219;118;-24;188;42;145;;-26;-128;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-102;-61;-141;-33;3;-145;6;-48;-26;;-2;-151;
межрегиональная;;;;;;;;;;;;;
Городские поселения;29;41;4;252;115;121;182;90;171;;-24;23;
международная;;;;;;;;;;;;;
Городские поселения;186;291;266;23;-95;247;413;211;275;;136;-205;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;193;273;280;34;-100;251;420;190;284;;129;-199;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;-7;18;-14;-11;5;-4;-7;21;-9;;7;-6;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;215;332;270;275;20;368;595;301;446;;112;-182;
Мелегежское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;17;22;30;32;-23;6;-3;-4;9;;-14;32;
в пределах России;;;;;;;;;;;;;
Сельские поселения;6;15;16;26;-9;7;-3;-2;7;;-9;30;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-7;-1;17;20;-7;12;-15;6;3;;-12;28;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;13;16;-1;6;-2;-5;12;-8;4;;3;2;
международная;;;;;;;;;;;;;
Сельские поселения;11;7;14;6;-14;-1;0;-2;2;;-5;2;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;11;8;14;6;-14;-2;0;-1;1;;-5;2;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;-1;;;;1;;-1;1;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;24;23;13;12;-16;-6;12;-10;6;;-2;4;
Борское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;19;14;23;11;22;-8;-16;-10;-10;;13;25;
в пределах России;;;;;;;;;;;;;
Сельские поселения;17;2;21;12;24;-12;-14;-11;-13;;6;21;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-1;-3;13;-2;14;-13;-10;-12;-7;;6;-1;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;18;5;8;14;10;1;-4;1;-6;;0;22;
международная;;;;;;;;;;;;;
Сельские поселения;2;12;2;-1;-2;4;-2;1;3;;7;4;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;2;12;2;-1;-2;4;-2;1;3;;7;3;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;;;;;;;;;;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;20;17;10;13;8;5;-6;2;-3;;7;26;
Ганьковское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;7;18;5;20;1;10;-23;-6;-12;10;36;-4;
в пределах России;;;;;;;;;;;;;
Сельские поселения;;0;;3;2;5;-14;-9;-13;12;34;-4;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;;4;-3;-5;-11;-8;-12;2;-8;3;14;8;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;;-4;3;8;13;13;-2;-11;-5;9;20;-12;
международная;;;;;;;;;;;;;
Сельские поселения;7;18;5;17;-1;5;-9;3;1;-2;2;0;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;7;18;5;17;-1;4;-9;0;2;-3;1;1;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;;;;1;0;3;-1;1;1;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;7;14;8;25;12;18;-11;-8;-4;7;22;-12;
Горское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;21;14;11;-12;-23;-7;0;2;-16;-7;-8;-9;
в пределах России;;;;;;;;;;;;;
Сельские поселения;7;2;1;-12;-25;-14;3;-1;-8;-8;-8;-9;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;1;-1;-6;-9;-14;-1;7;-9;-14;-4;-9;-13;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;6;3;7;-3;-11;-13;-4;8;6;-4;1;4;
международная;;;;;;;;;;;;;
Сельские поселения;14;12;10;0;2;7;-3;3;-8;1;0;0;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;14;12;10;-1;2;8;-3;3;-8;1;0;0;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;;1;0;-1;;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;20;15;17;-3;-9;-6;-7;11;-2;-3;1;4;
Цвылевское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;52;56;-12;-6;2;43;19;-29;23;3;17;24;
в пределах России;;;;;;;;;;;;;
Сельские поселения;28;1;4;4;-3;25;16;-28;20;6;17;28;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;2;-8;4;0;-9;17;10;-22;-14;1;15;14;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;26;9;;4;6;8;6;-6;34;5;2;14;
международная;;;;;;;;;;;;;
Сельские поселения;24;55;-16;-10;5;18;3;-1;3;-3;0;-4;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;23;55;-16;-11;3;18;3;1;3;-3;1;-4;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;;;1;2;0;;-2;;;-1;0;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;50;64;-16;-6;11;26;9;-7;37;2;2;10;
Пашозерское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-6;16;-3;-7;3;2;-11;-1;8;-1;9;-1;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-11;15;-4;-5;2;-1;-16;-5;-1;6;5;-3;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-7;6;-8;-4;3;-4;-13;-5;2;6;-1;-8;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-4;9;4;-1;-1;3;-3;0;-3;0;6;5;
международная;;;;;;;;;;;;;
Сельские поселения;5;1;1;-2;1;3;5;4;9;-7;4;2;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;5;1;1;-2;1;3;5;4;9;-7;4;2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;1;10;5;-3;0;6;2;4;6;-7;10;7;
Коськовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;15;5;7;-9;36;-1;-4;-25;-2;2;-20;3;
в пределах России;;;;;;;;;;;;;
Сельские поселения;7;-2;-5;-15;22;-4;-6;-10;-2;-1;-18;2;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-7;2;-8;-7;2;-2;-10;-1;-7;-1;-15;-6;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;14;-4;3;-8;20;-2;4;-9;5;0;-3;8;
международная;;;;;;;;;;;;;
Сельские поселения;8;7;12;6;14;3;2;-15;0;3;-2;1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;7;7;12;6;14;3;2;-15;0;3;-2;1;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;;;;;;;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;22;3;15;-2;34;1;6;-24;5;3;-5;9;
Шугозерское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;15;33;29;-12;-8;-33;36;-41;10;-56;18;5;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-4;-14;23;-19;-24;-45;39;-30;0;-55;4;-19;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-3;-13;-1;-12;-13;-20;25;-30;-18;-33;-3;4;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-1;-1;24;-7;-11;-25;14;0;18;-22;7;-23;
международная;;;;;;;;;;;;;
Сельские поселения;19;47;6;7;16;12;-3;-11;10;-1;14;24;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;19;45;6;6;18;11;-3;-11;9;-1;14;25;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;2;;1;-2;1;0;;1;;;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;18;46;30;0;5;-13;11;-11;28;-23;21;1;
Тосненский муниципальный район;;;;;;;;;;;;;
Тосненский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;3716;3963;2393;1765;-1214;358;796;-734;-544;-2158;-1226;-1360;
в пределах России;;;;;;;;;;;;;
Муниципальный район;3308;2124;1321;1275;348;163;128;-248;-1239;-1540;-1437;-1306;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;349;328;114;14;-15;-59;-193;-263;-346;-264;-313;-269;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;2959;1796;1207;1261;363;222;321;15;-893;-1276;-1124;-1037;
международная;;;;;;;;;;;;;
Муниципальный район;408;1839;1072;490;-1562;195;668;-486;695;-618;211;-54;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;391;1808;1031;487;-1570;194;661;-490;666;-617;207;-52;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;17;31;41;3;8;1;7;4;29;-1;4;-2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;3367;3635;2279;1751;-1199;417;989;-471;-198;-1894;-913;-1091;
Тосненское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;289;1043;380;100;-809;-295;-109;-498;-205;;-621;-430;
в пределах России;;;;;;;;;;;;;
Городские поселения;204;132;-66;112;58;-311;-200;-389;-481;;-643;-404;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-27;21;-23;-5;1;-88;-123;-129;-96;;-139;-77;
межрегиональная;;;;;;;;;;;;;
Городские поселения;231;111;-43;117;57;-223;-77;-260;-385;;-504;-327;
международная;;;;;;;;;;;;;
Городские поселения;85;911;446;-12;-867;16;91;-109;276;;22;-26;
